"","Patent.Number...Numéro.du.brevet","Agent.Type.Code...Code.du.type.d.agent","Applicant.Type.Code...Code.du.type.de.demandeur","Interested.Party.Type.Code...Code.du.type.de.partie.intéressée","Interested.Party.Type...Type.de.partie.intéressée","Owner.Enable.Date...Date.d.activation.par.le.propriétaire","Ownership.End.date...Date.de.désactivation.par.le.propriétaire","Party.Name...Nom.de.la.partie","Party.Address.Line.1...Ligne.1.de.l.adresse.de.la.partie","Party.Address.Line.2...Ligne.2.de.l.adresse.de.la.partie","Party.Address.Line.3...Ligne.3.de.l.adresse.de.la.partie","Party.Address.Line.4...Ligne.4.de.l.adresse.de.la.partie","Party.Address.Line.5...Ligne.5.de.l.adresse.de.la.partie","Party.City...Ville.de.la.partie","Party.Province.Code...Code.de.la.province.de.la.partie","Party.Province...Étiquette.de.la.province.de.la.partie","Party.Postal.Code...Code.postal.de.la.partie","Party.Country.Code...Code.du.pays.de.la.partie","Party.Country...Pays.de.la.partie","Filing.Date...Date.de.dépôt","Grant.Date...Date.de.l.octroi","Application.Status.Code...Code.du.statut.de.la.demande","Application.Type.Code...Code.du.type.de.la.demande","Application.Patent.Title.English...Demande.Titre.anglais.du.brevet","Application.Patent.Title.French...Demande.Titre.français.du.brevet","Bibliographic.File.Extract.Date...Date.d.extraction.du.fichier.bibliographique","Country.of.Publication.Code...Code.du.pays.de.publication","Document.Kind.Type...Genre.du.type.de.document","Examination.Request.Date...Date.de.la.demande.d.examen","Filing.Country.Code...Code.du.pays.de.dépôt","Language.of.Filing.Code...Langue.du.dépôt.de.la.demande","License.For.Sale.Indicator...Indicateur.de.la.licence.de.vente","PCT.Application.Number...Numéro.de.demande.du.TCMB","PCT.Publication.Number...Numéro.de.publication.du.TCMB","PCT.Publication.Date...Date.de.publication.du.TCMB","Parent.Application.Number...Numéro.de.la.demande.principale","PCT.Article.22.39.fulfilled.Date...Date.d.accomplissement.des.articles.22.à.29.du.TCMB","PCT.Section.371.Date...Date.de.l.article.371.du.TCMB","PCT.Publication.Country.Code...Code.du.pays.de.publication.du.TCMB","Publication.Kind.Type...Genre.de.type.de.publication","Printed.as.Amended.Country.Code...Code.du.pays.de.la.demande.imprimée.après.modification","Country"
"256030","2865598","-2","APPLICANT","APPL","Applicant","NULL","NULL","UNIVERSITE DU QUEBEC A CHICOUTIMI","555 boulevard de l'Universite","NULL","NULL","NULL","NULL","CHICOUTIMI","Q1","Quebec","G7H 2B1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","METHOD FOR MONITORING AN ACTIVITY OF A COGNITIVELY IMPAIRED USER AND DEVICE THEREFORE","PROCEDE POUR SURVEILLER UNE ACTIVITE D'UN UTILISATEUR AYANT UNE DEFICIENCE COGNITIVE ET DISPOSITIF POUR CELUI-CI","2022-01-17","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256032","2865598","-2","-2","OWNR","Owner","2014-09-30","NULL","UNIVERSITE DU QUEBEC A CHICOUTIMI","555 boulevard de l'Universite","NULL","NULL","NULL","NULL","CHICOUTIMI","Q1","Quebec","G7H 2B1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","METHOD FOR MONITORING AN ACTIVITY OF A COGNITIVELY IMPAIRED USER AND DEVICE THEREFORE","PROCEDE POUR SURVEILLER UNE ACTIVITE D'UN UTILISATEUR AYANT UNE DEFICIENCE COGNITIVE ET DISPOSITIF POUR CELUI-CI","2022-01-17","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256167","2865656","-2","APPLICANT","APPL","Applicant","NULL","NULL","AMAYA GAMING GROUP INC.","7600 Transcanada","NULL","NULL","NULL","NULL","POINTE-CLAIRE","Q1","Quebec","H9R 1C8","CA","Canada",2013-02-28,"NULL","DE","PCT","METHOD AND SYSTEM FOR PROVIDING A LOTTERY TICKET USING A MOBILE PHONE","PROCEDE ET SYSTEME PERMETTANT DE FOURNIR UN TICKET DE LOTERIE A L'AIDE D'UN TELEPHONE MOBILE","2022-01-17","CA","A1","NULL","CA","EN"," 0","PCT/CA2013/000187","WO2013/126997","2013-09-06","NULL","2014-08-27","2013-02-28","WO","A1","CA","CA"
"256168","2865656","-2","-2","OWNR","Owner","2013-02-28","NULL","AMAYA GAMING GROUP INC.","7600 Transcanada","NULL","NULL","NULL","NULL","POINTE-CLAIRE","Q1","Quebec","H9R 1C8","CA","Canada",2013-02-28,"NULL","DE","PCT","METHOD AND SYSTEM FOR PROVIDING A LOTTERY TICKET USING A MOBILE PHONE","PROCEDE ET SYSTEME PERMETTANT DE FOURNIR UN TICKET DE LOTERIE A L'AIDE D'UN TELEPHONE MOBILE","2022-01-17","CA","A1","NULL","CA","EN"," 0","PCT/CA2013/000187","WO2013/126997","2013-09-06","NULL","2014-08-27","2013-02-28","WO","A1","CA","CA"
"256188","2865664","-2","-2","OWNR","Owner","2013-02-28","2020-09-17","PROMETIC BIOSCIENCES INC.","300 - 440 ARMAND-FRAPPIER BOULEVARD","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7V 4B4","CA","Canada",2013-02-28," 2020-11-03","GR","PCT","METHOD FOR THE PREPARATION OF TRIGLYCERIDES OF MEDIUM-CHAIN LENGTH FATTY ACIDS","PROCEDE POUR LA PREPARATION DE TRIGLYCERIDES D'ACIDES GRAS DE LONGUEUR DE CHAINE MOYENNE","2022-08-01","CA","C","2018-02-23","CA","EN"," 0","PCT/CA2013/000174","WO2013/126990","2013-09-06","NULL","2014-08-27","2013-02-28","WO","C","CA","CA"
"256190","2865664","-2","APPLICANT","APPL","Applicant","NULL","NULL","PROMETIC BIOSCIENCES INC.","300 - 440 ARMAND-FRAPPIER BOULEVARD","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7V 4B4","CA","Canada",2013-02-28," 2020-11-03","GR","PCT","METHOD FOR THE PREPARATION OF TRIGLYCERIDES OF MEDIUM-CHAIN LENGTH FATTY ACIDS","PROCEDE POUR LA PREPARATION DE TRIGLYCERIDES D'ACIDES GRAS DE LONGUEUR DE CHAINE MOYENNE","2022-08-01","CA","C","2018-02-23","CA","EN"," 0","PCT/CA2013/000174","WO2013/126990","2013-09-06","NULL","2014-08-27","2013-02-28","WO","C","CA","CA"
"256191","2865664","-2","-2","OWNR","Owner","2020-09-17","NULL","LIMINAL R&D BIOSCIENCES INC.","440 ARMAND-FRAPPIER BLVD,. SUITE 300","NULL","NULL","NULL","NULL","LAVAL","Q1","Quebec","H7V 4B4","CA","Canada",2013-02-28," 2020-11-03","GR","PCT","METHOD FOR THE PREPARATION OF TRIGLYCERIDES OF MEDIUM-CHAIN LENGTH FATTY ACIDS","PROCEDE POUR LA PREPARATION DE TRIGLYCERIDES D'ACIDES GRAS DE LONGUEUR DE CHAINE MOYENNE","2022-08-01","CA","C","2018-02-23","CA","EN"," 0","PCT/CA2013/000174","WO2013/126990","2013-09-06","NULL","2014-08-27","2013-02-28","WO","C","CA","CA"
"256287","2865727","-2","-2","OWNR","Owner","2014-09-30","NULL","POSI-PLUS TECHNOLOGIES INC.","10, boul. de l'Artisan","NULL","NULL","NULL","NULL","VICTORIAVILLE","Q1","Quebec","G6P 7E4","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","TELESCOPING ARM WITH SECURABLE POLE-TILT ASSEMBLY","BRAS TELESCOPIQUE AVEC ENSEMBLE D'INCLINAISON DE POTEAU POUVANT ETRE FIXE","2022-01-17","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256289","2865727","-2","APPLICANT","APPL","Applicant","NULL","NULL","POSI-PLUS TECHNOLOGIES INC.","10, boul. de l'Artisan","NULL","NULL","NULL","NULL","VICTORIAVILLE","Q1","Quebec","G6P 7E4","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","TELESCOPING ARM WITH SECURABLE POLE-TILT ASSEMBLY","BRAS TELESCOPIQUE AVEC ENSEMBLE D'INCLINAISON DE POTEAU POUVANT ETRE FIXE","2022-01-17","CA","A1","NULL","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256295","2865733","-2","APPLICANT","APPL","Applicant","NULL","NULL","LEDDARTECH INC.","240 4535 WILFRID-HAMEL BLVD","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1P 2J7","CA","Canada",2013-03-01,"NULL","ER","PCT","SYSTEM AND METHOD FOR MULTIPURPOSE TRAFFIC DETECTION AND CHARACTERIZATION","SYSTEME ET PROCEDE POUR UNE DETECTION ET UNE CARACTERISATION DE LA CIRCULATION A OBJECTIFS MULTIPLES","2022-05-23","CA","A1","2018-02-22","IB","EN"," 0","PCT/IB2013/051667","WO2013/128427","2013-09-06","NULL","2014-08-27","2013-03-01","WO","A1","CA","CA"
